i,j,v
368345,467312,7
435828,440215,103
480411,290288,33
518593,396484,250
188169,318589,43
267300,262566,18
505013,508158,10
198629,343622,100
340034,357606,42
211120,281676,2
528278,535036,50
787756,417218,30
297617,243932,115
377731,514198,4
8447,448905,5
381093,449875,20
278653,398825,100
513419,513443,91
293002,530565,175
500725,441807,10
396666,373708,11
419575,319152,281
376177,296241,666
323063,448502,22
433222,397818,171
462832,378661,36
239658,283802,118
326677,308220,20
448505,192905,1
405830,317501,50
571841,597483,28
427818,288391,200
510573,438793,140
481476,502524,100
435716,348569,25
443225,478670,101
414543,787756,35
211120,309715,2
304503,281836,10
304336,522918,66
386652,396484,23
486099,484591,50
423378,15776,50
421747,305985,317
510573,281836,5
439169,365209,40
5870,4567,50
306670,8447,111
407221,288391,50
265323,514941,50
315697,425901,10
704446,768884,200
368345,364953,7
431336,326040,10
497740,459348,94
11124,213263,100
273254,293751,80
431336,417451,10
419386,500590,40
268597,293751,203
435356,459795,20
365209,230147,50
295725,14447,30
414395,393582,51
8447,525578,100
473938,398825,25
295725,246847,15
319616,291307,20
440215,351709,105
503891,445796,34
438756,382304,83
268597,325771,79
248611,316982,105
363469,288391,500
15117,11298,2
518593,266782,85
377461,433240,10
289791,265108,300
270138,14447,69
284408,11299,42
590111,597941,100
463117,453989,39
454819,627459,10
500725,512173,9
291140,505013,302
315697,419069,10
307971,445336,120
645767,243300,20
378422,336594,50
336902,255345,100
507286,352234,15
342037,438793,117
15776,293760,70
3652,323063,10
320063,542351,100
268597,367962,139
349606,375727,20
454819,427349,10
407655,285998,50
516505,443909,120
368013,228795,25
508799,423327,120
337974,494652,282
428352,296241,10
511298,510107,10
289811,380030,15
376168,283402,20
526579,369048,137
403202,704446,100
317514,250739,28
440850,285106,50
784277,350429,25
413352,253744,100
336902,359338,50
423378,471502,40
14451,15459,178
349439,421433,152
247018,8447,100
481656,339857,20
214598,214825,200
449776,456591,50
526285,704446,90
17940,18751,370
390613,348561,61
342477,210592,10
211693,8152,40
335383,364987,25
386134,261754,23
12048,343622,500
434888,383050,116
315697,510956,10
429173,509436,313
253744,413352,100
345272,605092,10
699129,500069,20
612367,443225,20
3702,20198,237
481656,307705,20
435353,354647,35
497738,342878,75
348561,390613,60
306758,502728,40
419344,306810,200
447515,253540,89
535389,414708,17
509195,351670,827
345272,420493,40
291789,505633,138
383925,509436,229
498180,509436,275
411769,419754,55
499635,704446,31
211535,389808,100
15117,449793,2
318350,440252,100
345272,512250,10
450187,394770,50
15117,311933,2
218369,487357,20
316088,17360,5
502325,14455,1
449776,430361,31
503004,499789,10
330471,308410,100
545823,293355,83
502325,423378,2
16601,423127,33
411769,270684,113
227791,427818,200
287806,463031,20
265409,350139,100
19250,268597,89
367962,268597,138
404330,381369,2500
12778,380950,100
265409,327409,100
345272,790773,10
23425,325198,20
407655,8447,200
312016,306792,100
420915,499802,219
510956,420554,19
417418,235512,69
349816,451916,15
408838,501701,200
449776,291771,30
398824,415872,101
13906,399339,34
218369,428341,10
444467,434908,241
444323,483960,300
16643,421047,1323
425589,439799,5
704446,380959,50
13982,262402,5
471735,535389,5
291140,419625,303
16308,445796,100
501845,427631,59
511287,290288,10
270228,8447,69
454819,327687,15
1407,237973,500
445359,326677,17
456309,548943,10
287806,264001,34
15776,378422,100
8447,307834,100
23425,312144,88
478740,319185,20
597941,283115,100
10144,7464,111
398824,343622,201
265409,269694,300
506159,397290,248
386213,243300,69
14260,14345,50
423873,419521,38
470458,388622,39
291140,291515,20
244257,245958,130
445234,468143,27
387107,380287,50
335503,327341,50
497738,508616,2
545800,545823,83
485203,352094,141
422233,250874,73
302556,414180,20
8447,457716,55
368056,8447,50
526697,526821,120
336902,194372,70
441956,308426,30
253197,304106,51
368916,438793,109
343039,382857,22
343039,333932,30
286094,12732,53
253744,506673,11
513236,513294,67
352094,485203,142
407655,293760,25
376440,470458,44
